RC#,RC Name,Category,Vendor#,Vendor Name,Address 1,Address 2,City,State,ZIP code,Amount
35,School of Medicine,6400,538362,"ALPERN, ROBERT J",1 GROUSE LANE,,WOODBRIDGE,CT,06525,1000
35,School of Medicine,6400,586659,"KANTER, STEVEN L",8620 FENWAY DR,,BETHESDA,MD,20817,1000
35,School of Medicine,6400,155616,"BENZ JR, EDWARD J",JOHNS HOPKINS UNIVERSITY,ROOM 9026,BALTIMORE,MD,21205-0000,1000
35,School of Medicine,6400,289035,"RUBENSTEIN, ARTHUR H",470 HIGHVIEW RD,,ENGLEWOOD,NJ,07631,1000
35,School of Medicine,6400,342840,"FREISCHLAG, JULIE ANN",15 FALLING WATER COURT,,REISTENSTOWN,MD,21136,1000
35,School of Medicine,6400,378249,"SPIEGEL, ALLEN MICHAEL",1300 MORRIS PARK AVE,SUITE 312 BELFER BLDG,BRONX,NY,10461,1000
39,School of Health & Rehabilitation Sciences,6400,700407,"DEPALMA, SONDRA",309 CHARLES ST,,HANOVER,PA,17331,1000
39,School of Health & Rehabilitation Sciences,6400,686206,"SANDERS, BARBARA",6913 NUBIAN LN,,AUSTIN,TX,78739,1000
39,School of Health & Rehabilitation Sciences,6400,655962,"BARTOW, ALEXANDREA",205 HIGHLAND RD,,PITTSBURGH,PA,15238,1000
39,School of Health & Rehabilitation Sciences,6400,657785,"YINUSA-NYAHKOON, LEANNE",152 WHEELER AVE,,CRANSTON,RI,02905,1000
41,Johnstown Campus,6000,104020,ESRI,FILE #54630,,LOS ANGELES,CA,90074-4630,1000
41,Johnstown Campus,6400,689457,"CRAFTS, DAVID M",763 EAST MOUNTAIN ST,,PASADENA,CA,91104,1000
41,Johnstown Campus,7100,577151,"JMA COLLISION CENTER, LLC",190 RAGERS HILL RD,,SOUTH FORK,PA,15956,1000
42,Greensburg Campus,6400,183986,STATLER'S FUN CENTER,RR 7 BOX 261B,,GREENSBURG,PA,15601,1000
42,Greensburg Campus,6900,248865,ECONOMIC GROWTH CONNECTION OF WESTMORELA,450 SOUTH MAIN STREET,SUITE 6,GREENSBURG,PA,15601,1000
44,Bradford Campus,6400,310751,PENNHILLS CLUB,PO BOX 211,,BRADFORD,PA,16701,1000
44,Bradford Campus,6900,664867,CIRKLED IN INC,110 110TH AVE NE,STE 520,BELLEVUE,WA,98004,1000
51,University Center for International Studies,6400,697502,"PRIME, IEASHA JERLETHA",4201 WILSON BLVD,BLDG 111 STE 333,ARLINGTON,VA,22203,1000
55,UPMC Hillman Cancer Center,6400,701432,"BEG, SHAALAN",102 RIDGECREST COURT,,COPPELL,TX,75019,1000
55,UPMC Hillman Cancer Center,6400,702200,"LEVINE, ROSS",345 EAST 68TH STREET APARTMENT 5ABC,,NEW YORK,NY,10065,1000
55,UPMC Hillman Cancer Center,6400,542123,"SABA, NABIL F",2575 PEACHTREE RD APT 10F,,ATLANTA,GA,30305,1000
55,UPMC Hillman Cancer Center,6400,689670,"BOULTON, SIMON",14 HILLTOP VIEW,,WHEATHAMPSTEAD,,AL4 8AJ,1000
55,UPMC Hillman Cancer Center,6400,703514,"MATEI, DANIELA",1530 S STATE ST APT 16G,,CHICAGO,IL,60605,1000
55,UPMC Hillman Cancer Center,6400,434450,"RUDIN, CHARLES",6217 SAREVA DRIVE,,BALTIMORE,MD,21209,1000
55,UPMC Hillman Cancer Center,6400,700935,"DEANGELIS, LISA M",400 E 56TH ST APT 23N,,NEW YORK,NY,10022,1000
55,UPMC Hillman Cancer Center,6400,696502,"PADMANABHAN, ANAND",4275 STONE CREST LN NE,,ROCHESTER,MN,55906,1000
55,UPMC Hillman Cancer Center,6400,697330,"ALEXANDROV, LUDMIL BOYANOV",3821 CAMINO LINDO,,SAN DIEGO,CA,92122,1000
55,UPMC Hillman Cancer Center,6400,313297,"WOLTERS KLUWER HEALTH, INC",P O BOX 64931,,BALTIMORE,MD,21264-4931,1000
55,UPMC Hillman Cancer Center,6400,273763,"RAMALINGAM, SURESH SAKKARAI",2204 OAKAWANA DR,,ATLANTA,GA,30345,1000
60,Libraries,6400,229944,ASSOCIATION OF RESEARCH LIBRARIES,21 DUPONT CIRCLE NW SUITE 800,,WASHINGTON,DC,20036,1000
60,Libraries,6500,102928,CORNELL UNIVERSITY,BOX 37334,,BOONE,IA,50037-0334,1000
60,Libraries,6500,368546,NIKKEI AMERICA INC,1325 AVENUE OF THE AMERICAS SUITE 2500,ELECTRONIC MEDIA DEPT,NEW YORK,NY,10019,1000
60,Libraries,6500,345627,DATABANKS INTERNATIONAL,23 MURRAY ST,,BINGHAMTON,NY,13905,1000
67,Facilities Management,6400,392113,ALLEGHENY COUNTY DEPARTMENT OF COURT REC,"1ST FLOOR, CITY COUNTY BLDG",414 GRANT ST,PITTSBURGH,PA,15219,1000
78,Learning Research & Development Center,6400,702095,"MOORE, COREY KATHLEEN",1357 W SELLS DR,,PHOENIX,AZ,85013,1000
80,Athletics,6400,567588,"KINLEY, WENDELL",111 PENNSYLVANIA AVE APT 1,,OAKMONT,PA,15139,1000
80,Athletics,6400,703448,MISSOURI ATHLETIC CLUB,405 WASHINGTON AVE,,ST LOUIS,MO,63102,1000
80,Athletics,6800,603868,SAP PRODUCITONS LLC,177 E MITCHELL HAMMOCK RD,,OVIEDO,FL,32765,1000
80,Athletics,6900,162993,NACDA,PO BOX 16428,,CLEVELAND,OH,44116,1000
80,Athletics,6900,112212,WAKE FOREST UNIVERSITY,PO BOX 751425,,CHARLOTTE,NC,28275-1425,1000
80,Athletics,7100,195353,#1 COCHRAN AUTOMOTIVE,#1 COCHRAN COLLISION OF GREENSBURG,1 COCHRAN LANE,GREENSBURG,PA,15601,1000
85,SOMD Administration,6400,698537,"LOWERS, JANE",PO BOX 182,,PINE LAKE,GA,30072,1000
85,SOMD Administration,6400,429289,"MARKMANN, JAMES F",167 KINGS GRANT ROAD,,WESTON,MA,02493,1000
85,SOMD Administration,6400,699229,"SARRETT, JENNIFER CHRISTINE",2424 MELINDA CT NE,,ATLANTA,GA,30345,1000
85,SOMD Administration,6900,230929,AMERICANS FOR MEDICAL PROGRESS,908 KING STREET,SUITE 301,ALEXANDRIA,VA,22314,1000
85,SOMD Administration,7100,426632,ELEVATOR MANAGEMENT SERVICES INC,1441 PUEBLO DR,,PITTSBURGH,PA,15228,1000
90,Western Psychiatric Institute and Clinic,6400,412288,"KALIN, NED",WISPIC,6001 RESEARCH PARK BOULEVARD,MADISON,WI,53719,1000
90,Western Psychiatric Institute and Clinic,6400,695269,"KENNY, PAUL",104 VAN WART AVENUE,,TARRYTOWN,NY,10591,1000
90,Western Psychiatric Institute and Clinic,6400,270270,"RUBENSTEIN, JOHN LOUIS",71 WOODLAND AVE,,SAN FRANCISCO,CA,94117,1000
90,Western Psychiatric Institute and Clinic,6400,700186,"EPPERSON, CYNTHIA NEILL",1849 ALBION STREET,,DENVER,CO,80220,1000
90,Western Psychiatric Institute and Clinic,6400,361365,"LYKETSOS, CONSTANTINE G",2327 BOSTON STREET UNIT 16,,BALTIMORE,MD,21224,1000
92,Business and Auxiliary Services,6400,347715,TMA SYSTEMS LLC,PO BOX 2324,,OKLAHOMA CITY,OK,73101,1000
92,Business and Auxiliary Services,7100,131124,THERMO KING OF PITTSBURGH INC,13031 RT 30,,NORTH HUNTINGDON,PA,15642-0000,1000
94,School of Computing and Information,6400,100641,AMERICAN LIBRARY ASSN,PO BOX 141,,ANNAPOLIS JUNCTION`,MD,20701-0141,1000
10,SVC and Provost,6000,113479,UNITED STATES POSTAL SERVICE,3900 CROWN ROAD,RM 126,ATLANTA,PA,30304-9651,1001
10,SVC and Provost,6400,695143,CENTER FOR URBAN HISTORY OF EAST CENTRAL,SCHILLERPLATZ 4/1/602,,VIENNA,,1010,1002
23,Swanson School of Engineering,6000,594290,MC MACHINERY SYSTEMS INC,DEPT CH 10800,,PALATINE,IL,60055-0800,1002
87,SVC and Chief Financial Officer,6400,116165,EXPERIAN,5601 E LA PALMA,,ANAHEIM,CA,92807,1002
85,SOMD Administration,7100,100212,AG MAURO CO,310 ALPHA DR,,PITTSBURGH,PA,15238,1003
02,SVC Engagement,7400,651530,COOPER APPAREL & PROMOTIONS LLC,926 1/2 S AIKEN AVE,,PITTSBURGH,PA,15232,1004
06,Kenneth P. Dietrich School of Arts and Sciences,6000,316143,AUTHORIZENET,,,,,84003,1004
21,Katz Graduate School of Business,6000,111864,UNIVERSITY OF NEBRASKA-LINCOLN,INTERLIBRARY LOAN,204B LOVE LIBRARY,LINCOLN,NE,68588,1004
21,Katz Graduate School of Business,6000,112354,WENDELL AUGUST FORGE INC,620 MADISON AVENUE,,GROVE CITY,PA,16127-0109,1005
31,School of Dental Medicine,6000,108178,NEVIN LABORATORIES INC,5000 S HALSTED ST,,CHICAGO,IL,60609,1005
92,Business and Auxiliary Services,7140,104532,"GATEWAY ENGINEERS, INC",1011 ALCON ST,,PITTSBURGH,PA,15220-3424,1005
06,Kenneth P. Dietrich School of Arts and Sciences,6000,562253,FAIRVIEW MICROWAVE,"1130 JUNCTION DRIVE, SUITE 100",,ALLEN,TX,75013,1006
92,Business and Auxiliary Services,6000,540182,DELUXE SMALL BUSINESS SALES/WHOLESTYLE P,PO BOX 4656,,CAROL STREAM,IL,60197-4656,1006
30,SVC Health Sciences,6000,702116,STAIRSTEADY PRODUCTS LTD,WESTTHORPE INNOVATION CENTRE,,KILLAMARSH,,S21 1TZ,1008
39,School of Health & Rehabilitation Sciences,6400,478068,"SHAFFER JR, EDWARD M",233 THORNWOOD DR,,BUTLER,PA,16001,1008
30,SVC Health Sciences,6000,262228,AMAZON WEB SERVICES INC,PO BOX 530958,,ATLANTA,GA,30353-0958,1009
43,Titusville Campus,6000,248635,GRAINGER,3750 BROOKSIDE PKWY,STE 260,ALPHARETTA,GA,30022-1433,1009
22,School of Education,6400,330227,ACADEMIC KEYS LLC,PO BOX 162,,STORRS,CT,06268-0162,1010
35,School of Medicine,6000,353507,GODADDY.COM,14455 N HAYDEN ROAD,SUITE 219,SCOTTSDALE,AZ,85260,1011
35,School of Medicine,6000,100692,AMERICAN RADIOLABELED CHEMICALS INC,11624 BOWLING GREEN DR,,ST LOUIS,MO,63146,1011
60,Libraries,6000,111667,ULINE,PO BOX 88741,,CHICAGO,IL,60680-1741,1011
05,Student Affairs,6000,693697,"YEDULLA, SUDEEP",3333 FORBES AVENUE #1433,,PITTSBURGH,PA,15213,1012
23,Swanson School of Engineering,6000,317797,SCHMITT MEASUREMENT SYSTEMS INC,2765 NW NICOLAI ST,,PORTLAND,OR,97210,1012
33,School of Pharmacy,6000,328027,ICON CLINICAL RESEARCH LLC,212 CHURCH RD,,N WALES,PA,19454,1012
22,School of Education,6000,104257,FISHER SCIENTIFIC COMPANY LLC,PO BOX 406538,,ATLANTA,GA,30384-6538,1013
35,School of Medicine,6000,509545,WHITE HOUSE CUSTOM COLOUR,2840 LONE OAK PARKWAY,,EAGAN,MN,55121,1013
41,Johnstown Campus,6000,338273,NICROS INC,845 PHALEN BLVD,,ST PAUL,MN,55106,1013
23,Swanson School of Engineering,6400,104219,FILTECH INC,PO BOX 421,,WEST HOMESTEAD,PA,15120,1014
92,Business and Auxiliary Services,6000,612952,W & D MACHINERY COMPANY,PCARD,,,KS,662140000,1014
22,School of Education,6000,108586,ORIENTAL TRADING COMPANY,PO BOX 14502,,DES MOINES,IA,50306,1015
55,UPMC Hillman Cancer Center,6000,368624,EPOCH LIFE SCIENCE INC,1306 FM 1092 RD,SUITE 407,MISSOURI CITY,TX,77459,1015
67,Facilities Management,7100,555592,BECKER PUMPS CORP,PO BOX 72294,,CLEVELAND,OH,44192,1015
81,University Center for Social & Urban Research,6000,521322,SUPRA OFFICE SOLUTIONS INC,PO BOX 201,,BALA CYNWYD,PA,19004,1015
32,School of Nursing,6000,146896,AANA,222 SOUTH PROSPECT AVENUE,,PARK RIDGE,IL,60068-4001,1017
42,Greensburg Campus,6000,246133,BUILDERS HARDWARE AND SPECIALTY CO,2002 WEST 16TH ST,,ERIE,PA,16505,1018
61,Pitt Information Technology,6400,470958,F-RESPONSE,3333 W KENNEDY BLVD,SUITE 201,TAMPA,FL,33609,1019
42,Greensburg Campus,6000,209310,LENNOX INDUSTRIES INC,PO BOX 92672,,CHICAGO,IL,60675-2672,1020
55,UPMC Hillman Cancer Center,6000,238779,BIOTAGE LLC,10430 HARRIS OAKS BLVD,STE C,CHARLOTTE,NC,28269,1020
06,Kenneth P. Dietrich School of Arts and Sciences,6000,298093,CHOICE METALS,274 FERNCLIFF ROAD,,RICES LANDING,PA,15357,1021
31,School of Dental Medicine,6000,119105,PREMIER DENTAL PRODUCTS CO,PO BOX 62067,,KING OF PRUSSIA,PA,66049-0000,1022
67,Facilities Management,6000,322178,GRAPHICS 22 SIGNS INC,5212 LYTLE ST,,PITTSBURGH,PA,15207,1022
92,Business and Auxiliary Services,6000,212828,HOME DEPOT,PO BOX 105991 DEPT 24,,ATLANTA,GA,30348,1023
30,SVC Health Sciences,6000,106535,LABORATORY PRODUCTS SALES INC,1665 BUFFALO RD,,ROCHESTER,NY,14624,1024
31,School of Dental Medicine,7400,661784,GREAT LAKES DENTAL TECHNOLOGIES LTD,200 COOPER AVE,,TONAWANDA,NY,14150,1024
23,Swanson School of Engineering,6000,102368,CHARLES RIVER LABORATORIES INC,PO BOX 3869,,BOSTON,MA,02241,1025
42,Greensburg Campus,6400,549916,"MOYER, ROBIN",2009 WESTERN AVENUE,,GREENSBURG,PA,15601,1025
42,Greensburg Campus,6000,299542,MAVERICK JACKETS INC,1308 VILLAGE CREEK DR,SUITE 2000,PLANO,TX,75093,1025
44,Bradford Campus,6400,567374,QUIET EVENTS INC,21-35 32ND ST,,ASTORIA,NY,11105,1025
41,Johnstown Campus,7100,162254,"ALLEGHENY SUPPLY AND MAINTENANCE CO, INC",PO BOX 186,,DUNCANSVILLE,PA,16635,1026
55,UPMC Hillman Cancer Center,6000,102816,COMPUTYPE INC,PO BOX CM 9496,,ST PAUL,MN,55170,1026
92,Business and Auxiliary Services,7400,105466,HUMAN KINETICS INC,BOX 5076,1607 N MARKET STREET,CHAMPAIGN,IL,61825-5076,1026
23,Swanson School of Engineering,6000,691462,10579254 CANADA INC,1608 MAXIME ST,,OTTAWA,,K1B 3L1,1027
55,UPMC Hillman Cancer Center,6400,296639,MAGEE WOMENS RESEARCH INSTITUTE & FOUNDA,MAGEE HOSPITAL,SUITE 2130,PITTSBURGH,PA,15213,1030
60,Libraries,6500,124783,CONFERENCE BOARD,845 THIRD ST,,NEW YORK,NY,10022,1030
31,School of Dental Medicine,6400,482143,COMCAST BUSINESS,ONE COMCAST CENTER 32ND FL,,PHILADELPHIA,PA,19103-2838,1031
10,SVC and Provost,7000,434770,PEOPLES NATURAL GAS,PO BOX 9037,,ADDISON,TX,75001-9037,1032
31,School of Dental Medicine,6000,102368,CHARLES RIVER LABORATORIES INC,PO BOX 3869,,BOSTON,MA,02241,1032
43,Titusville Campus,7100,694950,SCHROEDER AUTO & TRUCK REPAIR,42631 WEST CENTRAL AVE,,TITUSVILLE,PA,16354,1032
67,Facilities Management,6000,346581,PROCESS INSTRUMENTS INC,,,,PA,15203,1033
80,Athletics,6000,690443,PICNIC TIME INC,5131 MAUREEN LN,,MOORPARK,CA,93021,1033
05,Student Affairs,6000,700083,SOUTH SIDE COMMUNITY COUNCIL,2005 SARAH ST,,PITTSBURGH,PA,15203,1035
43,Titusville Campus,6400,311794,TITUSVILLE HERALD,PO BOX 328,,TITUSVILLE,PA,16354,1035
06,Kenneth P. Dietrich School of Arts and Sciences,6000,552267,PURE WATER PARTNERS,PO BOX 349,,FRANKLIN,IN,46131,1036
23,Swanson School of Engineering,6000,300755,UNIVERSITY WAFER INC,"850 SUMMER ST, SUITE 207",,BOSTON,MA,02127,1037
35,School of Medicine,6000,605645,SPLASHTOP,PCARD,,,CA,951290000,1037
78,Learning Research & Development Center,6000,660329,DROPBOX INC,333 BRANNAN STREET,,SAN FRANCISCO,CA,94107,1038
43,Titusville Campus,6000,364181,GOOGLE INC,1600 AMPHITHEATRE PARKWAY,,MOUNTAIN VIEW,CA,94043,1039
44,Bradford Campus,6400,313801,KANE REPUBLICAN,PO BOX 838,,KANE,PA,16735,1039
35,School of Medicine,7100,537957,MEDPIPE MAINTENACE CORPORATION,PO BOX 541,,LAWRENCE,PA,15055,1040
41,Johnstown Campus,6400,367879,"SIGN LANGUAGE SPECIALISTSOF WESTERN PA,",172 WATSON STREET,,JOHNSTOWN,PA,15905,1040
67,Facilities Management,6000,626953,EJ USA CLEVELAND,PCARD,,,OH,441210000,1040
35,School of Medicine,7100,105138,HAY SERVICE AND INSTALLATION CO INC,435 MELWOOD AVE,,PITTSBURGH,PA,15213,1041
41,Johnstown Campus,6600,272633,METROLINE INC,2250 MEIJER DR,,TROY,MI,48084,1042
55,UPMC Hillman Cancer Center,6000,348186,GA INTERNATIONAL INC,PO BOX 2633,,CHAMPLAIN,NY,12919,1042
55,UPMC Hillman Cancer Center,6400,165278,UPMC PRESBYTERIAN SHADYSIDE,3200 SOUTH WATER ST,,PITTSBURGH,PA,15203,1043
06,Kenneth P. Dietrich School of Arts and Sciences,7100,422381,QUADIENT,25880 NETWORK PLACE,,CHICAGO,IL,60673-1258,1045
23,Swanson School of Engineering,6000,665602,TEXYS AMERICA LLC,7301 GEORGETOWN ROAD SUITE 125,,INDIANAPOLIS,IN,46268,1045
42,Greensburg Campus,6400,111724,UNITED SAFETY SERVICES INC,416 E MAIN ST,,CARNEGIE,PA,15106,1045
92,Business and Auxiliary Services,7400,111940,ROWMAN & LITTLEFIELD PUBLISHING GROUP IN,PO BOX 62059,,BALTIMORE,MD,21264,1046
41,Johnstown Campus,6900,165114,AMERICAN ASSN OF COLLEGIATE REGISTRARS A,DISTRIBUTION CENTER,PO BOX 231,ANNAPOLIS JUNCTION,MD,20701,1048
06,Kenneth P. Dietrich School of Arts and Sciences,6000,315970,RICOH USA INC,MANAGED SERVICES EASTERN DIST - F52,PO BOX 532545,ATLANTA,GA,30353-2545,1049
67,Facilities Management,6000,102865,CONSTRUCTION TOOL SERVICE INC,PO BOX 58168,,PITTSBURGH,PA,15209-0168,1049
02,SVC Engagement,6900,196607,ASSOCIATED PRESS,P O BOX 414262,,BOSTON,MA,02241-4262,1050
02,SVC Engagement,6400,203484,LAMAR COMPANIES,PO BOX 96030,,BATON ROUGE,LA,70896,1050
06,Kenneth P. Dietrich School of Arts and Sciences,6000,239679,WADSWORTH CONTROL SYSTEMS,5541 MARSHALL STREET,,ARVADA,CO,80002,1050
06,Kenneth P. Dietrich School of Arts and Sciences,6400,612686,"POLO, GRETA",2695 RUE PREFONTAINE APP 3,,MONTREAL,,H1W 2P6,1050
10,SVC and Provost,6400,660349,ASCENDIUM EDUCATION SOLUTIONS INC,2501 INTERNATIONAL LN,,MADISON,WI,53704,1050
23,Swanson School of Engineering,6000,482004,VALLEY DESIGN,PCARD,,,MA,014640000,1050
26,School of Social Work,6400,686926,"COPPERSMITH, CORY PATRICK",123 HOMESTEAD ST APT 1,,PITTSBURGH,PA,15218,1050
35,School of Medicine,6000,687927,LASERTEK SOLUTIONS,323 S MAIN ST,,ZELIENOPLE,PA,16063,1050
35,School of Medicine,6400,371577,S DUNSON CONSULTING LLC,PO BOX 1475,,VILLA RICA,GA,30180-1475,1050
35,School of Medicine,6400,435402,"CAIRNS, BRAD",828 SO 800 E,,SALT LAKE CITY,UT,84103,1050
44,Bradford Campus,6800,586549,"BOTTORF, NATHAN D",25 SHERMAN ST,,BRADFORD,PA,16701,1050
55,UPMC Hillman Cancer Center,6000,350720,APPLIED BIOLOGICAL MATERIALS INC,8-13520 CRESTWOOD PLACE,,RICHMOND,,V6V 2G2,1050
80,Athletics,6400,372334,"DICK, ALAN M",900 WASHINGTON ROAD,#311,PITTSBURGH,PA,15228,1050
80,Athletics,6400,323058,"SCHAMING, RAYMOND P",1069 AUGUSTA WAY,,PITTSBURGH,PA,15236,1050
67,Facilities Management,7100,122100,PENNSYLVANIA ROOFING SYSTEMS INC,BOX 209,,BAKERSTOWN,PA,15007,1053
31,School of Dental Medicine,6000,123853,LERRO CORP,400 PENN CENTER BLVD,SUITE 721,PITTSBURGH,PA,15235-0000,1054
67,Facilities Management,6000,111386,THOMAS FASTENING SYSTEMS,PO BOX 176,,FINLEYVILLE,PA,15332,1054
06,Kenneth P. Dietrich School of Arts and Sciences,6000,119466,ATCC,PO BOX 76349,AMERICAN TYPE CULTURE COLLECTIONS,BALTIMORE,MD,21275-6349,1055
35,School of Medicine,7100,452462,ANESTHESIA SPECIALTIES INC,1484 MEDINA ROAD,SUITE 113,MEDINA,OH,44256,1055
03,SVC Research,6000,319678,PERKINELMER GENETICS INC,PO BOX 101668,,ATLANTA,GA,30392-1668,1056
61,Pitt Information Technology,6400,155859,OPEN TEXT INC,PO BOX 105328,,ATLANTA,GA,30348-5328,1058
42,Greensburg Campus,6000,158341,SHERWIN-WILLIAMS CO,50 FREEPORT ROAD,,ASPINWALL,PA,15215-2906,1061
44,Bradford Campus,6000,470095,GOLF TEAM PRODUCTS INC,PO BOX 259,,Beaverton,OR,97005,1061
92,Business and Auxiliary Services,6000,366213,WESTERN STATES ENVELOPE & LABEL CO,BOX 88984,,MILWAUKEE,WI,53288-0984,1062
23,Swanson School of Engineering,6000,179664,SPECIALTY COATING SYSTEMS INC,5613 COLLECTIONS CENTER DRIVE,,CHICAGO,IL,60693,1063
31,School of Dental Medicine,6000,262518,PAYPAL,PO BOX 105658,PAYPAL CREDIT,ATLANTA,GA,30348,1063
80,Athletics,6400,691200,"MARAFKA, MARK",781 FREEDOM DR,,CARNEGIE,PA,15106,1063
85,SOMD Administration,6000,315540,BIOLEGEND INC,PO BOX 102100,,PASADENA,CA,91189-2100,1063
85,SOMD Administration,6000,100897,AQUA FILTER FRESH INC,PO BOX 14128,,PITTSBURGH,PA,15239-0128,1064
