Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
22,School of Education,6400,454454,"SOMERVILLE, LEAH",23 JOY STREET #1,,BOSTON,MA,02114,1000
60,Libraries,6400,120474,"THE NATIONAL AVIARY IN PITTSBURGH, INC",ALLEGHENY COMMONS WEST,,PITTSBURGH,PA,15212,1000
60,Libraries,6500,495189,INFOBASE LEARNING,PO BOX 809205,,CHICAGO,IL,60680-9201,1000
60,Libraries,6500,345627,DATABANKS INTERNATIONAL,23 MURRAY ST,,BINGHAMTON,NY,13905,1000
42,Greensburg Campus,6400,620286,"FIDEL, KONDWANI",445 N LUZERNE AVENUE,,BALTIMORE,MD,21224,1000
42,Greensburg Campus,6400,595832,WESTMORELAND/FRICK HOSPITAL FOUNDATION,446 WEST PITTSBURGH STREET,,GREENSBURG,PA,15601,1000
26,School of Social Work,6000,604368,INSTITUTE OF THE NATIONAL NETWORK FOR SO,905 E 8TH ST,,LOS ANGELES,CA,90021,1000
26,School of Social Work,6400,613064,"WEBB, QUR-AN","21 WEST MAIN STREET, 4TH FLOOR",,WATERBURY,CT,06702,1000
26,School of Social Work,6400,292911,NASW PA CHAPTER,PO BOX 79949,,BALTIMORE,MD,21279-0949,1000
26,School of Social Work,6900,106215,JUST HARVEST,120 E 9TH AVE,,HOMESTEAD,PA,15120,1000
03,Sr V C Research,6900,155307,OAK RIDGE ASSOCIATED UNIVERSITIES INC,CORPORATE FINANCE AND ADMINISTRATIN,PO BOX 2540,OAK RIDGE,TN,37831-2540,1000
20,Honors College,7300,111650,TWENTIETH CENTURY CLUB,4201 BIGELOW BLVD,,PITTSBURGH,PA,15213,1000
31,School of Dental Medicine,6000,129231,UNIVERSITY OF NORTH CAROLINA AT CHAPEL H,OFFICE OF SPONSORED RESEARCH,C/O BANK OF AMERICA LOCKBOX SERVICES,ATLANTA,GA,30384-2420,1000
31,School of Dental Medicine,6400,109296,"PLANTSCAPE, INC",3101 LIBERTY AVE,,PITTSBURGH,PA,15201,1000
05,Student Affairs,6000,510464,EYE TO EYE INC,"250 WEST 93RD ST, APT 17B",,NEW YORK,NY,10025,1000
05,Student Affairs,6400,139302,BELLEFIELD PRESBYTERIAN CHURCH,4001 FIFTH AVENUE,,PITTSBURGH,PA,15213,1000
92,Business Operations,6400,374472,AROUNDCAMPUS GROUP,88 VILCOM CENTER DRIVE,SUITE 160,CHAPEL HILL,NC,27514,1000
92,Business Operations,6900,457412,BIKE PITTSBURGH INC,3410 PENN AVENUE,,PITTSBURGH,PA,15201,1000
30,Sr V C Health Sciences,6000,535215,BRAIN & BEHAVIOR RESEARCH FOUNDATION,"90 PARK AVENUE, 16TH FL",,NEW YORK,NY,10016,1000
30,Sr V C Health Sciences,6400,614513,"CRANE, DUSHKA",1863 SUFFOLK ROAD,,COLUMBUS,OH,43221,1000
30,Sr V C Health Sciences,6400,612486,"MASUR, SANDRA K",275 W 96TH STREET APT PH-E,,NEW YORK,NY,10125,1000
30,Sr V C Health Sciences,6400,611172,"DEAN, DONNA JOYCE",367 MOUNDBUILDER LOOP,,HEDGESVILLE,WV,25427,1000
30,Sr V C Health Sciences,6400,612466,"ALEX-ASSENSOH, YVETTE",1995 POTTER STREET,,EUGENE,OR,97405,1000
30,Sr V C Health Sciences,6400,232552,ASSOCIATION FOR WOMEN IN SCIENCE,1321 DUKE ST STE 210,,ALEXANDRIA,VA,22314,1000
15,College of General Studies,6400,158053,PITTSBURGH CULTURAL TRUST,125 7TH ST,STE 500,PITTSBURGH,PA,15222,1000
15,College of General Studies,6400,434576,JEWISH COMMUNITY CENTER OF GREATER PITTS,5738 FORBES AVENUE,,PITTSBURGH,PA,15217,1000
21,Katz Graduate School of Business,6000,398245,STATPOINT TECHNOLOGIES INC,P O BOX 208,,ORLEAN,VA,20128,1000
21,Katz Graduate School of Business,6400,612492,INFYZOOM LLC,16192 COASTAL HIGHWAY,,LEWES,DE,19958,1000
21,Katz Graduate School of Business,6400,592149,"THE PITTSBURGH PATRIKA, INC",4006 HOLIDAY PARK DR,,MURRYSVILLE,PA,15668,1000
85,School of Medicine Division Administration,6400,122272,"UBEL, PETER A",100 DHU VARREN RD,,ANN ARBOR,MI,48105,1000
85,School of Medicine Division Administration,6400,619692,"LANKFORD, ADAM",1761 COMMONS NORTH LOOP #9205,,TUSCALOOSA,AL,35406,1000
85,School of Medicine Division Administration,6400,627509,"FUCHS, ROBERT P",1527 BEACON ST #3,,BROOKLINE,MA,02446,1000
85,School of Medicine Division Administration,6400,546014,"BLAKE, VALARIE K",146 OAKVIEW AVE,,PITTSBURGH,PA,15218,1000
85,School of Medicine Division Administration,6400,623074,"MARTONE, MARILYN",30 MARDEN AVE,,SEA CLIFF,NY,11579,1000
85,School of Medicine Division Administration,6400,620588,"PALAREA, RUSSELL EDSON",214 E BELLEFONTE AVE,,ALEXANDRIA,VA,22301,1000
85,School of Medicine Division Administration,6400,619696,"MCGINTY, EMMA ELIZABETH",1314 RUTTER ST,,BALTIMORE,MD,21217,1000
85,School of Medicine Division Administration,6900,230929,AMERICANS FOR MEDICAL PROGRESS,908 KING STREET,SUITE 301,ALEXANDRIA,VA,22314,1000
23,Swanson School of Engineering,6000,371048,CGTECH,9000 RESEARCH DRIVE,,IRVINE,CA,92618,1000
23,Swanson School of Engineering,6400,469513,"INNERST, STACY",1127 LAKEMONT DRIVE,,PITTSBURGH,PA,15243,1000
23,Swanson School of Engineering,6400,412433,"ASHBY, KENIA ACIOLY",3 WINTHROP RD,,CARNEGIE,PA,15106,1000
23,Swanson School of Engineering,6400,620254,"GRIFFIN HAYNES, KIMBERLY ANNE",204 E INDIAN SPRING DR,,SILVER SPRING,MD,20901,1000
23,Swanson School of Engineering,6900,103953,ENGINEERS SOCIETY OF WESTERN PENNSYLVANI,337 FOURTH AVE,,PITTSBURGH,PA,15222,1000
56,V C Institutional Advancement,6400,590527,"LEVITT, SHIA",828 SAN CARLOS AVE,,ALBANY,CA,94706,1000
56,V C Institutional Advancement,6400,606820,"BOWERS III, ALBERT C",8973 ROBERTS HOLLOW RD,,ELIZABETH,PA,15037,1000
56,V C Institutional Advancement,6400,552640,HOTEL MONACO PITTSBURGH,620 WILLIAM PENN PLACE,,PITTSBURGH,PA,15219,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6000,190152,SIUC,DIVISION OF CONTINUING EDUCATION,MAIL CODE 6705,CARBONDALE,IL,62901-6705,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6000,247932,PROQUEST,300 N ZEEB RD,PO BOX 1346,ANN ARBOR,MI,48106-1346,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6000,604819,MEETINGSAVVY,1053 SHEARWATER DR,,AUDUBON,PA,19403,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6000,540493,"FREEDMAN, GABRIEL EVAN",2108 BRADLEY DRIVE,,HARRISBURG,PA,17110,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,571136,"HUNT, ERICA","292 RUTLAND ROAD, #2",,BROOKLYN,NY,11225,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,618683,"KOUOH, KOYO",GUNDELDINGER STRASSE 153,,BASEL,,4053,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,146087,"YANG, WEITAO",301 PALLAFOX DRIVE,,CHAPEL HILL,NC,27516,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,609969,"LAWSON, DEANA",374A MACDONOUGH ST APT 2,,BROOKLYN,NY,11233,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,609966,"TATE, GREGORY","535 EDGECOMBE AVE., APT. 41",,NEW YORK,NY,10032,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,367118,"DUCHIN, MARC S",344 HAZEL DRIVE,,PITTSBURGH,PA,15228,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,611010,"KLUCEVSEK, GUY",35 ST. MARKS PLACE,,STATEN ISLAND,NY,10301,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,523276,"TUCKER, JOSHUA",3 WASHINGTON SQ VILLAGE,APT 9DFG,NEW YORK,NY,10012,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,610040,"DYSON, TORKWASE",150 BAY ST STUDIO 919,,JERSY CITY,NJ,07302,1000
06,Kenneth P. Dietrich School of Arts and Sciences,6400,619695,"FABER, SANDRA M",16321 RIDGECREST AVE,,MONTE SERENO,CA,95030,1000
24,School of Law,6400,607149,"MOSER, CARA",4901 ASPEN STREET,,WEST MIFFLIN,PA,15122,1000
24,School of Law,6400,607145,"ZBORAN, BETH A",112 ISEMAN ROAD,,FREEPORT,PA,16229,1000
24,School of Law,6400,607147,"ROBB, CHRISTINE",2359 HIGH OAK DR,,PITTSBURGH,PA,15220,1000
24,School of Law,6400,165155,"TANSKI, SUSAN E",129 DENNY RD,,VALENCIA,PA,16059,1000
24,School of Law,6400,607140,"MILANAK, MELISSA LYNN",105 INDIANA AVENUE,,VANDERGRIFT,PA,15690,1000
24,School of Law,6400,607144,"STITH, ANTIONETTE MARIE",2122 ROUND HILL CHURCH ROAD,,ELIZABETH,PA,15037,1000
55,UPMC Hillman Cancer Center,6000,109221,PITTSBURGH MAGAZINE,6160 S SYRACUSE WAY #300,,GREENWOOD VILLAGE,CO,80111,1000
55,UPMC Hillman Cancer Center,6000,101965,CADMUS JOURNAL SERVICES,PO BOX 630485,,BALTIMORE,MD,21263-0485,1000
55,UPMC Hillman Cancer Center,6400,451426,"MORRIS, LUC",303 EAST 60 STREET,APT 33F,NEW YORK,NY,10022,1000
55,UPMC Hillman Cancer Center,6400,613409,"DIAZ, LUIS A",5135 CRYSTAL SPRINGS,,ELLICOTT CITY,MD,21043,1000
55,UPMC Hillman Cancer Center,6400,627920,"KIM, YOUNG J",3418A HOPKINS ST,,NASHVILLE,TN,37215,1000
55,UPMC Hillman Cancer Center,6400,627917,"RIAZ, NADEEM","404 E 66TH ST, APT 7P",,NEW YORK,NY,10065,1000
55,UPMC Hillman Cancer Center,6400,504473,"FOX, BERNARD A",15230 NW MITCHELL STREET,,PORTLAND,OR,97229,1000
55,UPMC Hillman Cancer Center,6400,627919,"LEIDNER, ROM S",8710 NE 179TH PL,,VANCOUVER,WA,98612,1000
55,UPMC Hillman Cancer Center,6400,395464,"DE LANGE, TITIA",1230 YORK AVE,ROCKERFELLER UNIVERSITY,NEW YORK,NY,10065-6399,1000
55,UPMC Hillman Cancer Center,6400,628715,"MEHNERT, JANICE",5 RED COACH LN,,HOLMDEL,NJ,07733,1000
55,UPMC Hillman Cancer Center,6400,627916,"SHARABI, ANDREW",3416 MILLIKIN AVE,,SAN DIEGO,CA,92122,1000
55,UPMC Hillman Cancer Center,6400,627914,"SUNWOO, JOHN BING",440 SAN MATEO DR,,MENLO PARK,CA,94025,1000
55,UPMC Hillman Cancer Center,6400,586443,"REIS, JORGE SERGIO",515 EAST 72ND STREET APT 15B,,NEW YORK,NY,10021,1000
55,UPMC Hillman Cancer Center,6400,627913,"UPPALURI, RAVINDRA",65 HARWICH RD,,NEWTON,MA,02467,1000
55,UPMC Hillman Cancer Center,6400,627902,"ALLEN, CLINT TANNER",5203 CAMBERLEY AVE,,BETHESDA,MD,20814,1000
55,UPMC Hillman Cancer Center,6400,482617,"BELL, RICHARD BRYAN",1500 S W 5TH AVENUE 2403,,PORTLAND,OR,97201,1000
55,UPMC Hillman Cancer Center,6400,627915,"VARNER, JUDITH ANNE",3277 LONE HILL LN,,ENCINITAS,CA,92024,1000
55,UPMC Hillman Cancer Center,6400,627899,"CHOW, LAURA QUAN MAN",3633 ASHWORTH AVE N,,SEATTLE,WA,98103-8116,1000
55,UPMC Hillman Cancer Center,6400,614874,"GIULIANO, ANNA REGINA",5018 WESLEY DR,,TAMPA,FL,33647,1000
55,UPMC Hillman Cancer Center,6400,627910,"GUTKIND, JORGE SILVIO",14753 CAMINITO PORTO ALEGRE,,DEL MAR,CA,92014,1000
55,UPMC Hillman Cancer Center,6400,627501,"DYNAN, WILLIAM SHELLEY",206 11TH ST NE UNIT 704,,ATLANTA,GA,30309,1000
55,UPMC Hillman Cancer Center,6400,627912,"SCHMITT, NICOLE CHERIE",7502 GLENNON DR,,BETHESDA,MD,20817,1000
55,UPMC Hillman Cancer Center,6400,478595,"SIKORA, ANDREW GREGORY","5280 CAROLINE ST, APT 1002",,HOUSTON,TX,77005,1000
55,UPMC Hillman Cancer Center,6400,625821,"KOWALCZYKOWSKI, STEPHEN CHARLES",2300 POPPY LN,,DAVIS,CA,95616-2932,1000
61,Computing Services & Systems Development,6400,109211,PITTSBURGH TECHNOLOGY COUNCIL,2000 TECHNOLOGY DRIVE,SUITE 100,PITTSBURGH,PA,15219,1000
51,University Center for International Studies,6000,181481,FULBRIGHT ASSOCIATION,235 WALNUT ST,,PITTSBURGH,PA,15238,1000
90,Western Psychiatric Institute and Clinic,6400,361647,"GOTLIB, IAN",23261 MORA HEIGHTS WAY,,LOS ALTOS HILLS,CA,94024,1000
90,Western Psychiatric Institute and Clinic,6400,613183,"TUREK, FRED",NORTHWESTERN UNIVERSITY,2205 TECH DRIVE,EVANSTON,IL,60208,1000
90,Western Psychiatric Institute and Clinic,6400,401320,"ZEE, PHYLLIS","505 NORTH LAKE SHORE DRIVE, APT 6804",,CHICAGO,IL,60611,1000
90,Western Psychiatric Institute and Clinic,6400,607871,"DIXON, LISA B",444 CENTRAL PARK WEST APT. 8B,,NEW YORK,NY,10025,1000
90,Western Psychiatric Institute and Clinic,6400,225728,"HABER, SUZANNE",UNIVERSITY OF ROCHESTER,SCHOOL OF MEDICINE,ROCHESTER,NY,14642,1000
90,Western Psychiatric Institute and Clinic,6400,102634,"COHEN, JONATHAN D",DEPT OF PSYCHOLOGY,CARNEGIE MELLON UNIVERSITY,PITTSBURGH,PA,15213,1000
90,Western Psychiatric Institute and Clinic,6400,626765,"KUNKEL, ELISABETH",301 CHESTNUT ST #1604,,HARRISBURG,PA,17101,1000
90,Western Psychiatric Institute and Clinic,6400,536379,"DAVIS, GRAEME WENTWORTH",182 OAKDALE AVE,,MILL VALLEY,CA,94941,1000
25,Graduate School of Public & International Affairs,6400,596137,"LINDSAY, JON R",3733 GLEN AVE,,CARLSBAD,CA,92010,1000
25,Graduate School of Public & International Affairs,6400,613944,CAMEROON FOOTBALL DEVELOPMENT PROGRAM,6401 PENN AVE STE 300,,PITTSBURGH,PA,15206,1000
32,School of Nursing,6400,623526,"ROGERS, ANN E",2673 BRIARLAKE RD NE,,ATLANTA,GA,30345,1000
32,School of Nursing,6400,614616,"HERSHOCK, CHAD DAVID",5 WORTHINGTON ROAD,,PITTSBURGH,PA,15238,1000
10,Sr V C and Provost,6400,542402,"NOZIK, LAURENCE JAY",5544 LANSBURY LANE,GEMINI STRATEGIC DESIGN,LYNDHURST,OH,44124,1000
10,Sr V C and Provost,6900,413077,ASSOCIATION OF PUBLIC LAND-GRANT UNIVERS,DEPARTMENT 0545,,WASHINGTON,DC,20073-0545,1000
44,Bradford Campus,6400,611941,"DHEGRAE, LUCY",254 SEAMAN AVE,APT E6,NEW YORK,NY,10034,1000
44,Bradford Campus,6400,611943,"FINCH, NICHOLAS H",1031 ALTA VISTA ROAD,,LOUISVILLE,KY,40205,1000
44,Bradford Campus,6400,442175,"DRUMMOND, DENISE M",46 EUCLID AVE,,BRADFORD,PA,16701,1000
44,Bradford Campus,6400,553144,RED DAY COMMUNICATIONS LLC,453 MOODY RUN ROAD,,OIL CITY,PA,16301,1000
44,Bradford Campus,6400,108958,PENNSYLVANIA STATE UNIVERSITY,INTERCOLLEGIATE ATHLETICS,3000 IVYSIDE PARK,ALTOONA,PA,16601,1000
44,Bradford Campus,6400,396521,ELLICOTTVILLE CHAMBER OF COMMERCE,PO BOX 456,,ELLICOTTVILLE,NY,14731,1000
44,Bradford Campus,7100,211798,EARTH-WORKS BY BILL WEIDOW,39 ROCHESTER ST,,BRADFORD,PA,16701,1000
35,School of Medicine,6400,612130,"MEEKS, LISA M",1608 CLARK LAKE ROAD,,BRIGHTON,MI,48114,1000
35,School of Medicine,6400,621338,"SCHNAPP, LYNN",15 UNWIN WAY,,MT PLEASANT,SC,29464,1000
35,School of Medicine,6400,560792,"HAWGOOD, SAMUEL",1676 9TH AVE,,SAN FRANCISCO,CA,94122,1000
35,School of Medicine,6400,621158,"WRIGHT, ALEXI A",41 PRINCE ST APT 3,,CAMBRIDGE,MA,02139,1000
35,School of Medicine,6400,538362,"ALPERN, ROBERT J",1 GROUSE LANE,,WOODBRIDGE,CT,06525,1000
35,School of Medicine,6400,611509,"CAPERS IV, QUINN",6830 BARRONSMORE WAY,,DUBLIN,OH,43016,1000
35,School of Medicine,6400,615751,"MARTIN, KATHLEEN",14 ALEX DRIVE,,MADISON,CT,06443,1000
35,School of Medicine,6400,155616,"BENZ JR, EDWARD J",JOHNS HOPKINS UNIVERSITY,ROOM 9026,BALTIMORE,MD,21205-0000,1000
35,School of Medicine,6400,540454,"MEIROVITCH, HAGAI",BIOMEDICAL SCIENCE TOWER 3,3052-B,PITTSBURGH,PA,15260,1000
35,School of Medicine,6400,378249,"SPIEGEL, ALLEN MICHAEL",1300 MORRIS PARK AVE,SUITE 312 BELFER BLDG,BRONX,NY,10461,1000
35,School of Medicine,6900,111807,UNIVERSITY OF CHICAGO,PO BOX 4110,OFFICE OF THE BURSAR,CAROL STREAM,IL,60197-4110,1000
23,Swanson School of Engineering,6000,288639,SUSS MICROTEC INC,220 KLUG CIRCLE,,CORONA,CA,92880-5409,1001
39,School of Health & Rehabilitation Sciences,6000,300829,UPS STORE,2232 SOUTH MAIN ST,,ANN ARBOR,MI,48103-6938,1001
31,School of Dental Medicine,6400,102630,COHEN AND GRIGSBY PC,625 LIBERTY AVE,2900 CNG TOWER,PITTSBURGH,PA,15222,1001
42,Greensburg Campus,6400,138306,ZAPPONE'S AUTO SERVICE,720 MT PLEASANT ROAD,,GREENSBURG,PA,15601,1002
87,Chief Financial Officer,6400,116165,EXPERIAN,5601 E LA PALMA,,ANAHEIM,CA,92807,1002
55,UPMC Hillman Cancer Center,7100,375605,THERMO FISHER SCIENTIFIC (ASHEVILLE) LLC,308 RIDGEFIELD COURT,,ASHEVILLE,NC,28806,1003
41,Johnstown Campus,6000,573861,"SPORTS ENDEAVORS, INC",SOCCER.COM,431 US HWY 70A EAST,HILLSBOROUGH,NC,27278,1004
44,Bradford Campus,6000,165600,KRIGGER & CO INC,4360 GIBSONIA RD,PO BOX 1427,GIBSONIA,PA,15044-1427,1004
92,Business Operations,7100,512523,GUMPHER ELECTRICAL SERVICES,99 CENTER STREET,,EAST PITTSBURGH,PA,15112,1005
35,School of Medicine,6000,474913,PLURALSIGHT LLC,PCARD,,,MA,020430000,1005
94,School of Computing and Information,6000,364181,GOOGLE INC,1600 AMPHITHEATRE PARKWAY,,MOUNTAIN VIEW,CA,94043,1006
42,Greensburg Campus,7100,104219,FILTECH INC,PO BOX 421,,WEST HOMESTEAD,PA,15120,1006
25,Graduate School of Public & International Affairs,6000,538396,TEAMVIEWER GMBH,PO BOX 743135,,ATLANTA,GA,30374-3135,1007
22,School of Education,6000,247809,GLOBAL INDUSTRIAL EQUIPMENT,2505 MILL CENTER PKWY,,BUFORD,GA,30518-3700,1008
85,School of Medicine Division Administration,7100,117596,OWENS & MINOR INC,PO  BOX 339,STUART PLAZA,GREENSBURG,PA,15601,1008
51,University Center for International Studies,6000,274938,CRESTLINE SPECIALITIES INC,PO BOX 414324,,BOSTON,ME,02241-4324,1010
33,School of Pharmacy,6000,119654,RK STEIN & CO,300 MT LEBANON BLVD,,PITTSBURGH,PA,15234,1010
41,Johnstown Campus,6400,102630,COHEN AND GRIGSBY PC,625 LIBERTY AVE,2900 CNG TOWER,PITTSBURGH,PA,15222,1011
35,School of Medicine,6000,582045,BIOCHROM US,PCARD,,,MA,017460000,1011
06,Kenneth P. Dietrich School of Arts and Sciences,6000,120272,HASKRIS CO,80 W SEEGERS RD,,ARLINGTON HEIGHTS,IL,60005,1012
44,Bradford Campus,7400,558405,EL DORADO TRADING GROUP,760 SAN ANTONIO ROAD,,PALO ALTO,CA,94303-4695,1012
35,School of Medicine,6000,327250,COSTCO,COSTCO WHOLESALE,501 W WATERFRONT DRIVE,WEST HOMESTEAD,PA,15120,1015
56,V C Institutional Advancement,6900,118001,ELSEVIER INC,CUSTOMER SUPPORT DEPARTMENT,PO BOX 211,AMSTERDAM,,1000 AE,1015
24,School of Law,6000,104168,FEDEX,PO BOX 965,,BROOKFIELD,WI,53008,1015
87,Chief Financial Officer,6000,321049,GETCERTIFIED4LESS.COM,,,,,48034,1016
06,Kenneth P. Dietrich School of Arts and Sciences,6400,624614,"IQBAL, BASIT",9825-85 AVE NW,,EDMONTON,,T6E 2J5,1016
35,School of Medicine,6000,592863,"DEPEAUX, KRISTIN",1630 COMMONWEALTH AVE APT #14,,BRIGHTON,MA,02135,1017
05,Student Affairs,6000,366798,COLLINS SPORTS MEDICINE,370 PARAMOUNT DR,,RAYNHAM,MA,02767,1018
61,Computing Services & Systems Development,7100,349758,SPECIALTY UNDERWRITERS LLC,PO BOX 78075,,MILWAUKEE,WI,53278-0075,1018
21,Katz Graduate School of Business,6000,249618,CISCO WEBEX LLC,16720 COLLECTIONS CENTER DRIVE,,CHICAGO,IL,60693,1018
06,Kenneth P. Dietrich School of Arts and Sciences,6000,138889,PSYCHOLOGICAL ASSESSMENT RESOURCES INC,16204 N FLORIDA AVE,,LUTZ,FL,33549,1019
56,V C Institutional Advancement,6400,117610,SERVICE MASTER,91 VESTA 7 ROAD,,BROWNSVILLE,PA,15417,1020
35,School of Medicine,6400,408121,ZOOLOGIX,9811 OWENSMOUTH AVENUE,SUITE 4,CHATSWORTH,CA,91311,1020
23,Swanson School of Engineering,6000,394589,ANTON PAAR USA,10215 TIMBER RIDGE DRIVE,,ASHLAND,VA,23005,1020
35,School of Medicine,6000,479187,PROTEINSIMPLE,PO BOX 1150 CHECKING BIN #39,,MINNEAPOLIS,MN,55480-1150,1021
05,Student Affairs,6000,163484,LAURELVILLE MENNONITE CHURCH CENTER,941 LAURELVILLE LANE,,MT PLEASANT,PA,15666-8908,1022
42,Greensburg Campus,7400,387861,LOGOFIT,3202 LAPEER ROAD,,FLINT,MI,48503,1022
67,Facilities Management,6000,116339,DOCUMENT SOLUTIONS INC,650 I SECO RD,,MONROEVILLE,PA,15146,1023
