RC#,RC Name,Category,Vendor#,Vendor Name,Address 1,Address 2,City,State,Szipcode,Amount,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,123608,"KLANN, ERIC",BAYLOR COLLEGE OF MEDICINE,ONE BAYLOR PLAZA,HOUSTON,TX,77030,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,203319,"WELSH, SHARON LEE",700 HICKORY DRIVE,,ALIQUIPPA,PA,15001,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,333132,"GEMUNDEN, GERD",7 HOLLENBECK LANE,,HANOVER,NH,03755,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,415508,"BASSO, MICHELE A",635 CHARLES E YOUNG DR S,,LOS ANGELES,CA,90095,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,423586,ASSOCIATION FOR JEWISH STUDIES,15 W. 16TH STREET,,NEW YORK,NY,10011,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,552069,"KRAIMAN, ARIANNE","3510 N PINE GROVE AVE, APT 503",,CHICAGO,IL,60657,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,572538,"SCHUTJER, KARIN LYNN",208 CHAUTAUQUA AVENUE,,NORMAN,OK,73069,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,636868,"OGLE, VANESSA",C/O COURTENAY SPRAGUE,473 BEACON ST #9,BOSTON,MA,02115,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,638647,"TRIVELLATO, FRANCESCA",51 LINCOLN ST,,NEW HAVEN,CT,06511,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,639038,"GODFREY, DANIEL S",54 POPE RD,,ACTON,MA,01720,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,640992,"HOLMES, MEGAN LAURE",924 DUNCAN ST,,ANN ARBOR,MI,48103,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,642405,"MORPHIS, KONTARA",134 GILMORE DR,,PITTSBURGH,PA,15235,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,645853,"MOORE, WAYETU",1460 BEDFORD AVE #3B,,BROOKLYN,NY,11216,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,649676,"WILKE, SABINE",7305 18TH AVE NW,,SEATTLE,WA,98117,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,654447,"ALEXANDER, LESLIE M",141 SPENCERS CREST DR,,EUGENE,OR,97405,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,654517,"BIONDI, MARTHA",2835 N LAKEWOOD AVE 5C,,CHICAGO,IL,60657,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,654613,"JONES, CHARLES E","2915 WOODLAWN AVE, UNIT T",,CINCINNATI,OH,45206,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,654766,"KISELEV, ALEXANDER A",110 FIELDSTONE CT,,CHAPEL HILL,NC,27514,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,655554,"ROTUNDA, CONNIE",75 DUG RD,,NEW PALTZ,NY,12561,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,655822,"KENNEDY, ROBERT T",1830 KESTREL WAY,,ANN ARBOR,MI,48103,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,656366,"MOORE, JASON W",108 CHARLES ST,,VASTAL,NY,13850,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,656836,"PEREZ, ROY",4906 ROSEWOOD AVE APT 202,,LOS ANGELES,CA,90004,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,657462,"KANE, STEPHANIE C",4412 E TRAILRIDGE RD,,BLOOMINGTON,IN,47408,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,659286,"CARPENTER, FAEDRA CHATARD",8606 FAR FIELDS WAY,,LAUREL,MD,20723,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,659287,"GLENN, DAVID JACKSON",2561 MOUTAIN WOODS DR,,VESTAVIA,AL,35216,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,659341,"GOULD, ROXANNE",1525 JERSEY AVE N.,,GOLDEN VALLEY,MN,55427,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6800,101716,BOYDELL AND BREWER,PO BOX 41026,,ROCHESTER,NY,14604,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6800,237953,BREPOLS PUBLISHERS NV,BEGIJNHOF 67,,TURNHOUT,,B-2300,1000,
06,Kenneth P. Dietrich School of Arts and Sciences,6900,143491,AMERICAN ACADEMY IN ROME,7 EAST 60TH STREET,,NEW YORK,NY,10022-1001,1000,
10,Sr V C and Provost,6000,106785,LIBRARY OF CONGRESS,PO BOX 420352,,PALM COAST,FL,32142-9385,1000,
10,Sr V C and Provost,6400,532025,BOB ROSENBERG GROUP,2318-32ND AVENUE,,SAN FRANCISCO,CA,94116,1000,
10,Sr V C and Provost,6400,624599,GREAT LAKES HIGHER EDUCATION GUARANTY CO,PO BOX 83230,,CHICAGO,IL,60691-0230,1000,
10,Sr V C and Provost,6400,631940,"BOHANNON, ADAM B",283 EAST 7TH ST 6B,,NEW YORK,NY,10009,1000,
10,Sr V C and Provost,6400,634320,"CASAP, JAIME",2107 N 9TH AVE,,PHOENIX,AZ,85007,1000,
10,Sr V C and Provost,6400,658042,WALTER DE GRUYTER GMBH,GENTHINER STRASSSE 13,,BERLIN,,10785,1000,
21,Katz Graduate School of Business,6000,298195,CLARIX TECHNOLOGIES INC,1163 PITTSFORD-VICTOR RD SUITE 210,,PITTSFORD,NY,14534-3833,1000,
21,Katz Graduate School of Business,6000,398245,STATPOINT TECHNOLOGIES INC,P O BOX 208,,ORLEAN,VA,20128,1000,
22,School of Education,6400,493731,"BROOKS, ANDREA",449 DIVISION AVE,,PITTSBURGH,PA,15202,1000,
22,School of Education,6400,631469,"DULAK, ERIN E",456 N LEWIS RUN RD,,WEST MIFFLIN,PA,15122,1000,
22,School of Education,6400,646877,"DUCKWORTH, ANGELA LEE","3401 MARKET ST, STE 202",,PHILADELPHIA,PA,19104,1000,
23,Swanson School of Engineering,6000,371048,CGTECH,9000 RESEARCH DRIVE,,IRVINE,CA,92618,1000,
23,Swanson School of Engineering,6400,260270,SOCIETY OF HISPANIC PROFESSIONAL ENGINEE,SHPE ONLINE CAREER CENTER,2350 CINNAMON RIDGE RD,CHARLOTTESVILLE,VA,22901,1000,
23,Swanson School of Engineering,6400,603097,"SNYDER, OLIVER D",525 SALEM HEIGHTS DR,,GIBSONIA,PA,15044,1000,
23,Swanson School of Engineering,6400,646423,"GORDON, ROBERT DAVID",1961 PRESERVE DR,,AUBURN,AL,36879,1000,
23,Swanson School of Engineering,6400,646424,"GREEN, ROGER ALLEN",3380 MAPLEWOOD CT S,,FARGO,ND,58104,1000,
23,Swanson School of Engineering,6400,646425,"MCGEORGE, CHRISTINE REBECCA",1237 2ND ST N,,FARGO,ND,58102,1000,
23,Swanson School of Engineering,6900,103953,ENGINEERS SOCIETY OF WESTERN PENNSYLVANI,337 FOURTH AVE,,PITTSBURGH,PA,15222,1000,
24,School of Law,6400,165155,"TANSKI, SUSAN E",129 DENNY RD,,VALENCIA,PA,16059,1000,
24,School of Law,6400,443962,"DENNIS, ANTHONY",4215 DAVIS AVE,,MUNHALL,PA,15120,1000,
24,School of Law,6400,607147,"ROBB, CHRISTINE",2359 HIGH OAK DR,,PITTSBURGH,PA,15220,1000,
24,School of Law,6400,624121,"ROACH, DANA S",659 WHITTEN HOLLOW RD,,NEW KENSINGTON,PA,15068,1000,
24,School of Law,6400,632500,"DOUGHERTY, BRIAN",3300 BROWN PL,,NORTH VERSALLIES,PA,15137,1000,
24,School of Law,6400,632508,"CAGLIA, MICHAEL",2082 ROCKY RIDGE RD,,ACME,PA,15610,1000,
24,School of Law,6400,632583,"GASTON, LAURA LEA",204 DORSAY VALLEY DR,,CRANBERRY TWP,PA,16066,1000,
25,Graduate School of Public & International Affairs,6400,596137,"LINDSAY, JON R",3733 GLEN AVE,,CARLSBAD,CA,92010,1000,
25,Graduate School of Public & International Affairs,6400,651019,"BUTLER, THOMAS 1",835 ECONOMOU RD,,HUNTINGTON,VT,05462,1000,
26,School of Social Work,6400,156114,THREE RIVERS YOUTH,2039 TERMON AVE,,PITTSBURGH,PA,15212,1000,
26,School of Social Work,6400,650350,"WHEELER, DARRELL P",129 BEECHMONT DR,,NEW ROCHELLE,NY,10804,1000,
26,School of Social Work,6400,658885,"SOTO, PAULA",250 INSURANCE ST STE 203,,BEAVER,PA,15009,1000,
26,School of Social Work,6900,151191,ICSD,LOUISIANA STATE UNIV,SCHOOL OF SOCIAL WORK,BATON ROUGE,LA,70803,1000,
41,Johnstown Campus,6400,183094,CAM-RON VIDEO PRODUCTIONS LLC,301 EVERETT LANE,,BARNESBORO,PA,15714,1000,
41,Johnstown Campus,7100,577151,"JMA COLLISION CENTER, LLC",190 RAGERS HILL RD,,SOUTH FORK,PA,15956,1000,
42,Greensburg Campus,6400,119133,WESTMORELAND SYMPHONY ORCHESTRA,PO BOX 1025,,GREENSBURG,PA,15601,1000,
42,Greensburg Campus,6400,403120,"KRASKI, CODY",3000 HOME AVENUE,,PITTSBURGH,PA,15234,1000,
42,Greensburg Campus,6400,461769,"SHEEDY, ELLIOTT A",222 BEACON STREET APT 32,,BOSTON,MA,02116,1000,
42,Greensburg Campus,6400,640319,"HUGHES, MARY KATHERINE",329 SOUTH AVE,APT 1,PITTSBURGH,PA,15221,1000,
42,Greensburg Campus,7100,657888,BODY BY COCHRAN OF GREENSBURG,1 COCHRAN LANE,,GREENSBURG,PA,15601,1000,
44,Bradford Campus,6400,157470,INTERNATIONAL MUSIC NETWORK,2 MAIN ST 4TH FL,,GLOUCESTER,MA,01930,1000,
44,Bradford Campus,6400,396521,ELLICOTTVILLE CHAMBER OF COMMERCE,PO BOX 456,,ELLICOTTVILLE,NY,14731,1000,
44,Bradford Campus,6400,442175,"DRUMMOND, DENISE M",46 EUCLID AVE,,BRADFORD,PA,16701,1000,
44,Bradford Campus,6400,553144,RED DAY COMMUNICATIONS LLC,453 MOODY RUN ROAD,,OIL CITY,PA,16301,1000,
44,Bradford Campus,6400,577386,TAGBOARD INC,8383 158TH AVE NE,STE 110,REDMOND,WA,98052,1000,
44,Bradford Campus,6400,650199,ARGOS HR SOLUTIONS LLC,113 MOHAWK DR,,SARVER,PA,16055,1000,
44,Bradford Campus,6400,656224,BACK THE BLUE 5K,PO BOX 1912,,CATOOSA,OK,74015,1000,
44,Bradford Campus,7100,223950,GRAHAMS GREENHOUSE,1111 EAST MAIN ST,,BRADFORD,PA,16701,1000,
51,University Center for International Studies,6400,102126,CARNEGIE MELLON UNIVERSITY,THE IMPACT MOVEMENT,4209 WASHINGTON BLVD,BALTIMORE,MD,21227,1000,
60,Libraries,6400,108929,PENNSYLVANIA LIBRARY ASSN,1919 N FRONT ST,,HARRISBURG,PA,17102,1000,
60,Libraries,6400,120474,"THE NATIONAL AVIARY IN PITTSBURGH, INC",ALLEGHENY COMMONS WEST,,PITTSBURGH,PA,15212,1000,
60,Libraries,6400,229944,ASSOCIATION OF RESEARCH LIBRARIES,21 DUPONT CIRCLE NW SUITE 800,,WASHINGTON,DC,20036,1000,
60,Libraries,6500,102928,CORNELL UNIVERSITY,LANGUAGE LEARNING CTR,TAPE SALES,ITHACA,NY,14853,1000,
60,Libraries,6500,345627,DATABANKS INTERNATIONAL,23 MURRAY ST,,BINGHAMTON,NY,13905,1000,
60,Libraries,6500,368546,NIKKEI AMERICA INC,1325 AVENUE OF THE AMERICAS SUITE 2500,ELECTRONIC MEDIA DEPT,NEW YORK,NY,10019,1000,
78,Learning Research & Development Center,6400,303270,"BORKO, HILDA",5245 CENTENNIAL TRAIL,,BOULDER,CO,80303,1000,
78,Learning Research & Development Center,6400,442682,"CARR, THOMAS H",317 WAYLAND AVE,,EAST LANSING,MI,48823,1000,
78,Learning Research & Development Center,6400,487533,"LI, PING",2369 NANTUCKET CIRCLE,,STATE COLLEGE,PA,16803,1000,
78,Learning Research & Development Center,6400,518872,"HARACKIEWICZ, JUDITH MARY",1120 OAK WAY,,MADISON,WI,53705,1000,
78,Learning Research & Development Center,6400,636867,"MCNAMARA, DANIELLE S",13238 S 34TH CT,,PHOENIX,AZ,85044,1000,
78,Learning Research & Development Center,6400,637630,"FISHMAN, BARRY JAY",3551 FREDERICK DR,,ANN ARBOR,MI,48105,1000,
78,Learning Research & Development Center,6400,637769,"THOMPSON, STANLEY WARREN",3051 BROOKSTONE DR,,CANONSBURG,PA,15317,1000,
78,Learning Research & Development Center,6400,637941,"PUGH, KENNETH",542 BOSTON POST RD,,MADISON,CT,06443,1000,
78,Learning Research & Development Center,6400,637943,"ROWLEY, STEPHANIE JOHNSON",7915 BRIARBROOK DR,,YPSILANTI,MI,48197,1000,
92,Business Operations,6000,433636,AUTOMATED LOGIC - PENNSYLVANIA,ALC PENNSYLVANIA,LOCKBOX 742630,ATLANTA,GA,30374-2630,1000,
92,Business Operations,6400,168199,"FINNERY, JR, UZELL",2637 WEBSTER AVENUE,,PITTSBURGH,PA,15219,1000,
30,Sr V C Health Sciences,6000,535215,BRAIN & BEHAVIOR RESEARCH FOUNDATION,"90 PARK AVENUE, 16TH FL",,NEW YORK,NY,10016,1000,
30,Sr V C Health Sciences,6400,634663,"WILLIAMS, ERROLINE",1740 GROVE CREST DR,,PITTSBURGH,PA,15239,1000,
30,Sr V C Health Sciences,6400,638197,"CANTOR, JOEL C",219 WOODBRIDGE AVE,,METUCHEN,NJ,08840,1000,
31,School of Dental Medicine,6400,151092,"BAGBY, MICHAEL",532 KIWANIS AVE,,MORGANTOWN,WV,26505,1000,
32,School of Nursing,6000,181277,BRIAN DUNN COMPANY,182 WOODSHIRE DR,,PITTSBURGH,PA,15215,1000,
32,School of Nursing,6900,133471,RESEARCH AMERICA,1101 KING STREET,SUITE 520,ALEXANDRIA,VA,22314,1000,
33,School of Pharmacy,6400,485712,SHADYSIDE PSYCHOLOGICAL SERVICES,5200 CENTRE AVE,STE 612,PITTSBURGH,PA,15232,1000,
80,Athletics,6400,581800,FULCRUM GUY LLC,403 PELHAM ROAD,,CHERRY HILL,NJ,08034,1001,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,635553,"HAINES, AMY RENEE",6134 LOWLANDER CT,,COLORADO SPRINGS,CO,80922,1001,
41,Johnstown Campus,6000,636444,MODERN BIOLOGY INC,2211 SOUTH ST,,LAFAYETTE,IN,47904,1001,
31,School of Dental Medicine,6000,100213,AG TRIMBLE CO,2889 GLENMORE AVE,STE 1,PITTSBURGH,PA,15216-2161,1001,
87,Chief Financial Officer,6400,116165,EXPERIAN,5601 E LA PALMA,,ANAHEIM,CA,92807,1002,
06,Kenneth P. Dietrich School of Arts and Sciences,6400,631882,COSTELLO CREATIVE DESIGN,610 BELLAIRE AVENUE,,PITTSBURGH,PA,15226,1003,
41,Johnstown Campus,6900,165114,AMERICAN ASSN OF COLLEGIATE REGISTRARS A,DISTRIBUTION CENTER,PO BOX 231,ANNAPOLIS JUNCTION,MD,20701,1004,
06,Kenneth P. Dietrich School of Arts and Sciences,6800,518038,PIN UP POSTERS COURIER COLLECTIVE LLC,P.O. BOX #1024,,PITTSBURGH,PA,15230,1005,
86,Sr V C Business and Operations,6000,141793,TSI INC,134 FIFTH STREET,,CAMBRIDGE,MA,02141,1005,
39,School of Health & Rehabilitation Sciences,6000,604956,MAKESIGNS.COM,PCARD,,,IL,604870000,1005,
06,Kenneth P. Dietrich School of Arts and Sciences,6000,109565,PSYCHOLOGY SOFTWARE TOOLS INC,2014 MONONGAHELA AVE,,PITTSBURGH,PA,15218,1006,
25,Graduate School of Public & International Affairs,6000,538396,TEAMVIEWER GMBH,PO BOX 743135,,ATLANTA,GA,30374-3135,1007,
92,Business Operations,7400,276750,POLONIA BOOKSTORE INC,4738 N MILWAUKEE AVE,,CHICAGO,IL,60630,1007,
92,Business Operations,7400,641468,IDEAL BOOKSHELF,PO BOX 320,,HAIKU,HI,96708,1007,
31,School of Dental Medicine,6000,588310,KETTENBACH LP,400 OSER AVE SUITE 1650,,HAUPPAUGE,NY,11788,1007,
42,Greensburg Campus,6000,299513,JOHNSONS ACE HARDWARE,PO BOX 175,2331 MT PLEASANT ROAD,NORVELT,PA,15674,1008,
67,Facilities Management,6000,556930,HARRISON PAINT COMPANY,1329 HARRISON AVE SW,,CANTON,OH,44706,1008,
06,Kenneth P. Dietrich School of Arts and Sciences,6000,205300,CONSOLIDATED STERILIZER SYSTEMS,PO BOX 297,,BOSTON,MA,02134-0003,1009,
92,Business Operations,7400,137903,FILMET COLOR LABORATORIES INC,1051 RUSSELLTON ROAD,,CHESWICK,PA,15024,1010,
35,School of Medicine,6000,102538,FILEMAKER INC,PO BOX 354,,BUFFALO,NY,14207,1011,
10,Sr V C and Provost,6400,536913,CHRIS CALHOUN AGENCY,270 LAFAYETTE ST SUITE 1504,,NEW YORK,NY,10012,1011,
