year,amount,vendor_number,vendor_name,vendor_address,purchaser_department,type
2014,1185,229250,"GIDAS FLOWERS","3719 FORBES AVE
PITTSBURGH, PA 15213","Chancellor","Supplies/Equipment"
2014,1490,530334,"GOLF GALAXY","PCARD
, PA 152050000","Chancellor","Supplies/Equipment"
2014,12766,364181,"GOOGLE INC","1600 AMPHITHEATRE PARKWAY
MOUNTAIN VIEW, CA 94043","Chancellor","Supplies/Equipment"
2014,1083,175255,"GRAPHCO","OHIO GRAPHCO INC PO BOX 72007
CLEVELAND, OH 44192-0002","Chancellor","Supplies/Equipment"
2014,4255,104931,"GUARDIAN STORAGE SOLUTIONS","PO BOX 408
NEW KENSINGTON, PA 15068","Chancellor","Supplies/Equipment"
2014,1500,288932,"GUIDESTAR - ANALYST REPORTS","427 SCOTLAND STREET
WILLIAMSBURG, VA 23185","Chancellor","Supplies/Equipment"
2014,3955,163700,"HALM INDUSTRIES CO INC","180 GLEN HEAD RD
GLEN HEAD, NY 11545","Chancellor","Supplies/Equipment"
2014,87523,105082,"HARRY GUCKERT CO","810 W N AVE
PITTSBURGH, PA 15233","Chancellor","Supplies/Equipment"
2014,1101,512773,"HENS AND CHICKS LLC","5892 ELLSWORTH AVE
PITTSBURGH, PA 15232","Chancellor","Supplies/Equipment"
2014,1105,105224,"HEPATICA","1119 S BRADDOCK AVE
PITTSBURGH, PA 15218","Chancellor","Supplies/Equipment"
2014,10042,469840,"JAM PAPER & ENVELOPE","
,  07647","Chancellor","Supplies/Equipment"
2014,3166,387070,"LEXISNEXIS RISK DATA MANAGMENT","6601 PARK OF COMMERCE BLVD
BOCA RATON, FL 33487","Chancellor","Supplies/Equipment"
2014,1356,107173,"MARQUIS WHO'S WHO","PO BOX 409878
ATLANTA, GA 30384-9878","Chancellor","Supplies/Equipment"
2014,3637,285902,"MECHLING BOOKBINDING","1124 ONEIDA VALLEY ROAD
RTE 38
CHICORA, PA 16025-3820","Chancellor","Supplies/Equipment"
2014,1865,120723,"MEDICAL SOURCE, INC.","PO BOX 550
NEW CASTLE, PA 16103","Chancellor","Supplies/Equipment"
2014,3208,321266,"MORNINGSTAR INC","225 W WACKER DR
CHICAGO, IL 60606","Chancellor","Supplies/Equipment"
2014,20381,108468,"OFFICE DEPOT INC","PO BOX 198030
ATLANTA, GA 30384-8030","Chancellor","Supplies/Equipment"
2014,4787,262518,"PAYPAL","774100
4100 SOLUTIONS CENTER
CHICAGO, IL 60677-4001","Chancellor","Supplies/Equipment"
2014,1140,109053,"PG CALC INC","129 MT AUBURN ST
CAMBRIDGE, MA 02138","Chancellor","Supplies/Equipment"
2014,1439,297210,"PITTSBURGH BLADE","1106 REEDSDALE ST
PITTSBURGH, PA 15233","Chancellor","Supplies/Equipment"
2014,1556,109234,"PITTSBURGH POST GAZETTE","PO BOX 566
CREDIT DEPT
PITTSBURGH, PA 15230-0566","Chancellor","Supplies/Equipment"
2014,10284,390403,"PRINTERS SERVICE","PO BOX 5070
IRONBOUND STATION
NEWARK, NJ 07105-5070","Chancellor","Supplies/Equipment"
2014,2902,184604,"PROVANTAGE LLC","7249 WHIPPLE AVENUE NW
NORTH CANTON, OH 44720-7143","Chancellor","Supplies/Equipment"
2014,2100,160951,"PRSA","33 IRVING PLACE
NEW YORK, NY 10003-2376","Chancellor","Supplies/Equipment"
2014,1800,519123,"REMALEY, DANIEL G","132 CAMBRIA HILL DRIVE
TARENTUM, PA 15084","Chancellor","Supplies/Equipment"
2014,1060,110240,"SARRIS CANDIES INC","511 ADAMS AVE
CANONSBURG, PA 15317","Chancellor","Supplies/Equipment"
2014,1350,214865,"STEEL CITY MEDIA","650 SMITHFIELD STREET
SUITE 2200
PITTSBURGH, PA 15222","Chancellor","Supplies/Equipment"
2014,6642,521322,"SUPRA OFFICE SOLUTIONS INC","PO BOX 201
BALA CYNWYD, PA 19004","Chancellor","Supplies/Equipment"
2014,3468,184133,"TARGET OFFICE PRODUCTS INC","620 VANADIUM ROAD
BRIDGEVILLE, PA 15017","Chancellor","Supplies/Equipment"
2014,3254,371212,"USPS","
Pittsburgh, PA 16066","Chancellor","Supplies/Equipment"
2014,1728,120957,"VOYAGER FLEET SYSTEMS INC","PO BOX 790049
HOUSTON, TX 77279-0049","Chancellor","Supplies/Equipment"
2014,2237,385821,"ACCUDATA INTEGRATED MARKETING INC","2988 PAYSPHERE CIRCLE
CHICAGO, IL 60674","Chancellor","Professional Services"
2014,10638,130891,"ALL OCCASIONS PARTY RENTAL","1060 MONTOUR WEST INDUSTRIAL PARK
CORAOPOLIS, PA 15108","Chancellor","Professional Services"
2014,2808,295146,"ALPHAGRAPHICS #514","6775 NW 15TH AVENUE
FORT LAUDERDALE, FL 33309","Chancellor","Professional Services"
2014,1350,321530,"ALTANY PHOTOGRAPHY","937 FREEPORT RD
NATRONA HEIGHTS, PA 15065","Chancellor","Professional Services"
2014,1200,259369,"ALTDORFER, JOHN P","980 WILLOW DRIVE
PITTSBURGH, PA 15237","Chancellor","Professional Services"
2014,3900,312097,"AMEN, KEIGHTLEY","376 WILLOWHEDGE DRIVE
MONROEVILLE, PA 15146","Chancellor","Professional Services"
2014,2300,510541,"BECKHAM MEDIA","7319 GENA CT
PITTSBURGH, PA 15209","Chancellor","Professional Services"
2014,2000,515078,"BOEHM, DOUG","620 FORREST STREET
FOUNTAIN HILL, PA 18015","Chancellor","Professional Services"
2014,7500,116852,"BUCK CONSULTANTS LLC","PO BOX 93341
CHICAGO, IL 60673-3341","Chancellor","Professional Services"
2014,5400,302841,"CAMI MESA PHOTOGRAPHY","310 SHADELAND AVE#4
DREXEL HILL, PA 19026","Chancellor","Professional Services"
2014,49854,214665,"CERRI, ELENA GIALAMAS","4725 BAYARD STREET
PITTSBURGH, PA 15213","Chancellor","Professional Services"
2014,2570,102680,"COLLEGE OF PHYSICIANS OF PHILADELPHIA","19 SOUTH TWENTY SECOND STREET
PHILADELPHIA, PA 19103","Chancellor","Professional Services"
2014,1061,102914,"COPYRIGHT CLEARANCE CENTER INC","PO BOX 843006
BOSTON, MA 02284-3006","Chancellor","Professional Services"
2014,1500,435455,"COTTON, ANGELA","6332 DAWNFIELD LN
HENRICO, VA 23231","Chancellor","Professional Services"
2014,15915,267017,"CPI CREATIVE","235 COMMERCIAL AVENUE
PITTSBURGH, PA 15215","Chancellor","Professional Services"
2014,12250,511886,"CREATIVE SPARKS INC","1422 WIGHTMAN STREET
PITTSBURGH, PA 15217","Chancellor","Professional Services"
2014,5082,103489,"DIRECT MAIL SERVICE INC","930 PENN AVE
PITTSBURGH, PA 15222-3785","Chancellor","Professional Services"
2014,1308,257888,"DISH NETWORK","P O BOX 105169
ATLANTA, GA 30348-5169","Chancellor","Professional Services"
2014,2182,468980,"EH PHOTOGRAPHY","1937 W PALMETTO STREET #205
FLORENCE, SC 29501","Chancellor","Professional Services"
2014,1165,375624,"EMPLOYMENT BACKGROUND INVESTIGATIONS INC","P.O. BOX 629
OWINGS MILLS, MD 21117","Chancellor","Professional Services"
2014,1744,411906,"ENGINE HOUSE NO 25","3339 PENN AVENUE
PITTSBURGH, PA 15201","Chancellor","Professional Services"
2014,5200,104042,"EVANS, RIC","100 ROSS STREET
PITTSBURGH, PA 15219-2013","Chancellor","Professional Services"
2014,8312,446522,"FAIRMONT PITTSBURGH","510 MARKET STREET
PITTSBURGH, PA 15222","Chancellor","Professional Services"
2014,2050,208839,"FISHER, JOSEPHINE C","6300 SW GRAND OAKS DRIVE J-302
CORVALLIS, OR 97333","Chancellor","Professional Services"
2014,2500,348577,"FITZGERALD, MICHAEL F","50 SACRAMENTO STREET
APT 1
CAMBRIDGE, MA 02138","Chancellor","Professional Services"
2014,6650,153943,"FLECKER JANIS, SALLY ANN","UNIVERSITY RELATIONS
400 CRAIG HALL
PITTSBURGH, PA 15260","Chancellor","Professional Services"
2014,15354,267199,"GETTY IMAGES INC","4363 COLLECTIONS CENTER DR
CHICAGO, IL 60693","Chancellor","Professional Services"
2014,2498,304591,"GRAYSTONE GROUP ADVERTISING","2710 NORTH AVENUE
SUITE 200
BRIDGEPORT, CT 06604-2352","Chancellor","Professional Services"
2014,24600,304112,"GRENZEBACH GLIER & ASSOCIATES INC","PO BOX 87618
CHICAGO, IL 60680-0618","Chancellor","Professional Services"
2014,226899,381501,"GRIZZARD COMMUNICATIONS GROUP INC","229 PEACHTREE STREET NE SUITE 1400
ATLANTA, GA 30303","Chancellor","Professional Services"
2014,1200,290034,"HARRIS JR, CLYDE A","167 CRESCENT GARDEN DRIVE
PENN HILLS, PA 15235","Chancellor","Professional Services"
2014,3500,219026,"HARRY GIGLIO PRODUCTIONS INC","16 & 18 TERMINAL WAY
2ND FLOOR
PITTSBURGH, PA 15219","Chancellor","Professional Services"
2014,4220,389699,"HARVITH, RACHEL EDWARDS","5017 N WOLCOTT #404
CHICAGO, IL 60640","Chancellor","Professional Services"
2014,1580,448555,"HAWKINS, BERNADETTE DENISE","14607 CREEK VALLEY COURT
CENTREVILLE, VA 20120-2923","Chancellor","Professional Services"
2014,5020,311503,"HEBERT, MICHELLE","6025 WELLESLEY AVE
PITTSBURGH, PA 15206","Chancellor","Professional Services"
2014,23594,271730,"HUGHIES EVENT PRODUCTION SERVICES","1383 E 17TH ST
CLEVELAND, OH 44114","Chancellor","Professional Services"
2014,2000,469513,"INNERST, STACY","1127 LAKEMONT DRIVE
PITTSBURGH, PA 15243","Chancellor","Professional Services"
2014,2500,105902,"IRELAND INSTITUTE OF PITTSBURGH","501 GRANT ST
PITTSBURGH, PA 15219","Chancellor","Professional Services"
2014,1500,522137,"IRISH VOICE NEWSPAPER","875 AVE OF THE AMERICAS
SUITE 201
NEW YORK, NY 10001","Chancellor","Professional Services"
2014,6100,229854,"J WINE ASSOCIATES","6067 MURRAY AVENUE
BETHEL PARK, PA 15102","Chancellor","Professional Services"
2014,52233,253294,"JCDECAUX AIRPORT","PO BOX 5436
NEW YORK, NY 10087-5436","Chancellor","Professional Services"
2014,1500,463819,"JEFFRIES, DARRYL L","7 PLEASANT AVE
DLJ COMMUNICATIONS GROUP
MONTCLAIR, NJ 07042","Chancellor","Professional Services"
2014,3790,325307,"JOBTARGET","PO BOX 791122
BALTIMORE, MD 21279-1122","Chancellor","Professional Services"
2014,2450,390731,"JONES JR, LAMONT","1518 COLLINS ROAD
PITTSBURGH, PA 15221","Chancellor","Professional Services"
2014,4100,238601,"JUDKIS, JAMES CHARLES","1602 KING JAMES DRIVE
PITTSBURGH, PA 15237","Chancellor","Professional Services"
2014,6000,484333,"KATSENELSON, ALLA","1915 23RD DR #2
ASTORIA, NY 11105","Chancellor","Professional Services"
2014,2000,466443,"KELLY, MORGAN","204 LAKEVIEW TERRACE
PRINCETON, NJ 08540","Chancellor","Professional Services"
2014,1675,480526,"KEPPLER, PAUL N","223 1/2 38TH ST
PITTSBURGH, PA 15201","Chancellor","Professional Services"
2014,2600,373817,"KLEIN, SARDI","137 WEST BROADWAY
NEW YORK, NY 10013-3358","Chancellor","Professional Services"
2014,16790,180110,"KPMG LLP","1 EAST PRATT ST
BALTIMORE, MD 21202","Chancellor","Professional Services"
2014,4315,148893,"KQV 1410","650 SMITHFIELD STREET
PITTSBURGH, PA 15222","Chancellor","Professional Services"
2014,1850,351530,"KREMER, HOPE E","2310 EAGLE PASS
SHELBYVILLE, KY 40065","Chancellor","Professional Services"
2014,2500,349999,"LAZURE, CATHERINE","593 RIVERSIDE DR
APT #6D
NEW YORK, NY 10031","Chancellor","Professional Services"
2014,4303,356737,"LEECH TISHMAN FUSCALDO & LAMPL LLC","525 WILLIAM PENN PLACE 30TH FL
PITTSBURGH, PA 15219","Chancellor","Professional Services"
2014,11290,106722,"LENDABLE LINENS","105 WINDSOR CT
MONROEVILLE, PA 15146","Chancellor","Professional Services"
2014,1700,215478,"LEVIN, STEVE","1901 3RD STREET
BAKERSFIELD, CA 93304","Chancellor","Professional Services"
2014,18350,256414,"LEVINE, MARTY","4026 WINDSOR STREET
PITTSBURGH, PA 15217","Chancellor","Professional Services"
2014,1400,427845,"LJS GROUP","PO BOX 143
MONROEVILLE, PA 15146-0143","Chancellor","Professional Services"
2014,99543,147649,"LLOYD, ERICA","2616 HILLSIDE DRIVE
BURLINGAME, CA 94010","Chancellor","Professional Services"
2014,7900,254064,"LOTENERO, MICHAEL J","33 LINSHAW AVENUE
PITTSBURGH, PA 15205","Chancellor","Professional Services"
2014,13291,501098,"MARALAGO CLUB LLC","1100 SOUTH OCEAN BLVD
PALM BEACH, FL 33480","Chancellor","Professional Services"
2014,1536,226812,"MIND OVER MEDIA","ONE MARKET STREET
PITTSBURGH, PA 15222","Chancellor","Professional Services"
2014,1939,284327,"MOSAIC INC","2740 SMALLMAN STREET
SUITE 310
PITTSBURGH, PA 15222","Chancellor","Professional Services"
2014,100479,336409,"MSL DIRECT INC","4312 OLD WILLAM PENN HIGHWAY
MURRYSVILLE, PA 15668","Chancellor","Professional Services"
2014,1050,510352,"MURPHY, BRETT       1","10 COLE DRIVE
HOPKINTON, MA 01748","Chancellor","Professional Services"
2014,2000,524496,"NAYBERG, YEVGENIA","327 4TH ST #4B
BROOKLYN, NY 11215","Chancellor","Professional Services"
2014,1400,422582,"NEELY, KENNETH","310 GREENWAY DRIVE
PITTSBURGH, PA 15235","Chancellor","Professional Services"
2014,1800,438025,"NINGALOO, LLC","1521 COUNTY RD 252
RIFLE, CO 81650","Chancellor","Professional Services"
2014,1148,334344,"OCCUPATIONAL HEALTH CENTERS OF THE SOUTH","PO BOX 8750
ELKRIDGE, MD 21075-8750","Chancellor","Professional Services"
2014,3200,515835,"O'DONNELL, EMILY","512 EDMOND STREET
APT 1
PITTSBURGH, PA 15224","Chancellor","Professional Services"
2014,2810,528540,"OLTMANNS, ALEXANDER","5210 FRIENDSHIP AVENUE
PITTSBURGH, PA 15224","Chancellor","Professional Services"
2014,6500,353889,"ON MOTION MEDIA","209 9TH STREET
SUITE 202
PITTSBURGH, PA 15222","Chancellor","Professional Services"
2014,1463,434914,"ONYX WOMAN NETWORK","1038 OSAGE DRIVE
PITTSBURGH, PA 15235","Chancellor","Professional Services"
2014,5900,456574,"PIFER, JENELLE","8332 POST ROAD
ALLISON PARK, PA 15101","Chancellor","Professional Services"
2014,3730,218950,"PR NEWSWIRE ASSOCIATION LLC","GPO BOX 5897
NEW YORK, NY 10087-5897","Chancellor","Professional Services"
2014,4637,135754,"PREMIER FOLIAGE & FLOWERING INC","5748 BAUM BLVD
PITTSBURGH, PA 15206","Chancellor","Professional Services"
2014,160541,194028,"PRINT TECH OF WESTERN PA LLC","P O BOX 826
INDIANA, PA 15701","Chancellor","Professional Services"
2014,31087,328001,"PROFESSIONAL GRAPHIC COMMUNICATIONS INC","P.O. BOX 1860
CRANBERRY TWP, PA 16066-0860","Chancellor","Professional Services"
2014,67920,109571,"PUBLIC PARKING AUTHORITY OF PITTSBURGH","232 BLVD OF ALLIES
DEPT OF FINANCE
PITTSBURGH, PA 15222-1616","Chancellor","Professional Services"
2014,108000,216224,"PUGLIESE ASSOCIATES INC","500 NORTH THIRD ST
9TH FL
HARRISBURG, PA 17101","Chancellor","Professional Services"
2014,1470,405019,"RATTLE CLACK ENTERTAINMENT","137 MEADOW AVENUE
PITTSBURGH, PA 15235","Chancellor","Professional Services"
2014,1850,202547,"RIAL, MARTHA","1825 MURDOCK RD
PITTSBURGH, PA 15217","Chancellor","Professional Services"
2014,2613,362323,"RIGHT TOUCH PHOTOGRAPHY INC","18293 LEE ROAD
FORT MYERS, FL 33967","Chancellor","Professional Services"
2014,129019,452073,"RITZ-CARLTON NAPLES","MARRIOTT BUSINESS SERVICES
BANK OF AMERICA
ATLANTA, GA 30384-2445","Chancellor","Professional Services"
2014,3000,411199,"ROUVALIS, CRISTINA","210 MABRICK AVE
PITTSBURGH, PA 15228","Chancellor","Professional Services"
2014,98771,527098,"SCALABILITY EXPERTS INC","1203 CRESTSIDE DR SUITE 300
COPPELL, TX 75019","Chancellor","Professional Services"
2014,148095,254680,"SCHNEIDER DOWNS & CO INC","1133 PENN AVE
ACCOUNTS RECEIVABLE DEPT
PITTSBURGH, PA 15222-4205","Chancellor","Professional Services"
2014,1600,521064,"SHERMAN, STEPHEN","416 W BROADWAY STE 1B
BOSTON, MA 02127","Chancellor","Professional Services"
2014,1350,464177,"SOUL PITT MEDIA","815 COPELAND STREET #117
PITTSBURGH, PA 15232","Chancellor","Professional Services"
2014,2500,482930,"TAVCOM INC","9 E LOOCKERMAN ST SUITE 3A-416
DOVER, DE 19901","Chancellor","Professional Services"
2014,5000,349249,"TREGASKIS, SHARON R","454 OLD 76 ROAD
BROOKTONDALE, NY 14817","Chancellor","Professional Services"
2014,1400,420373,"VOGLER, CHAD","220 PEARL STREET 2ND FLOOR
PITTSBURGH, PA 15224","Chancellor","Professional Services"
2014,2300,208366,"WASILCO, TRACEY","513  ARTHUR STREET
PITTSBURGH, PA 15219","Chancellor","Professional Services"
2014,5600,512111,"WHIPPLE, AMY","7233 PENN AVE APT 1B
PITTSBURGH, PA 15208","Chancellor","Professional Services"
2014,2850,289642,"WHIRL MAGAZINE","1501 REEDSDALE STREET
SUITE 202
PITTSBURGH, PA 15233","Chancellor","Professional Services"
2014,15000,118700,"WQED PITTSBURGH","4802 5TH AVE
ATTN: CAROL
PITTSBURGH, PA 15213","Chancellor","Professional Services"
2014,3480,477654,"YATES, DANA","809-222 THE ESPLANADE
TORONTO,  M5A 4M8","Chancellor","Professional Services"
2014,7500,320804,"ZINIO LLC","114 SANSOME STREET
4TH FLOOR
SAN FRANCISCO, CA 94104","Chancellor","Professional Services"
2014,2054,146979,"DYNAMEX INC","1301 BEAVER AVENUE
PITTSBURGH, PA 15233-0000","Chancellor","Mail"
2014,12082,381501,"GRIZZARD COMMUNICATIONS GROUP INC","229 PEACHTREE STREET NE SUITE 1400
ATLANTA, GA 30303","Chancellor","Mail"
2014,5310,327221,"J POLLEY MARKETING SOLUTIONS","308 CENTRAL DR
CRANBERRY  TWP, PA 16066","Chancellor","Mail"
2014,7110,336409,"MSL DIRECT INC","4312 OLD WILLAM PENN HIGHWAY
MURRYSVILLE, PA 15668","Chancellor","Mail"
2014,7700,364927,"PITTSBURGH DELIVERY SERVICE","7 DUNCAN LANE
INDIANOLA, PA 15051","Chancellor","Mail"
2014,8200,328001,"PROFESSIONAL GRAPHIC COMMUNICATIONS INC","P.O. BOX 1860
CRANBERRY TWP, PA 16066-0860","Chancellor","Mail"
2014,5090,113479,"UNITED STATES POSTAL SERVICE","3900 CROWN ROAD
RM 126
ATLANTA, PA 30304-9651","Chancellor","Mail"
2014,162572,296762,"US POSTMASTER BURLINGTON, VT","C/O JOHN SPITTLE LANE PRESS
1000 HINESBURG ROAD
SOUTH BURLINGTON, VT 05403","Chancellor","Mail"
2014,9450,295146,"ALPHAGRAPHICS #514","6775 NW 15TH AVENUE
FORT LAUDERDALE, FL 33309","Chancellor","Printing/Publishing"
2014,1894,102160,"CARSON PUBLISHING INC","119 FEDERAL ST
STE 410
PITTSBURGH, PA 15212","Chancellor","Printing/Publishing"
2014,1725,219939,"JOE APPEL PHOTOGRAPHY","79 HERR STREET
PITTSBURGH, PA 15209","Chancellor","Printing/Publishing"
2014,1400,519349,"JOURNAL MULTIMEDIA CORPORATION","1500 PAXTON ST
HARRISBURG, PA 17104","Chancellor","Printing/Publishing"
2014,1313,271715,"KNEPPER PRESS CORPORATION","CLINTON COMMERCE PARK
2251 SWEENEY DRIVE
CLINTON, PA 15026","Chancellor","Printing/Publishing"
2014,308600,150727,"LANE PRESS INC","PO BOX 130
BURLINGTON, VT 05402","Chancellor","Printing/Publishing"
2014,1003,192952,"LENOX HOTEL LLC","710 BOYLSTON STREET
ATTN: RESERVATIONS
BOSTON, MA 02116","Chancellor","Printing/Publishing"
2014,1000,292318,"MANCHESTER CRAFTMEN'S GUILD","1815 METROPOLITIAN STREET
PITTSBURGH, PA 15233","Chancellor","Printing/Publishing"
2014,1500,108211,"NEW PITTSBURGH COURIER","PO BOX 2939
SUBSCRIPTION DEPARTMENT
PITTSBURGH, PA 15230-9939","Chancellor","Printing/Publishing"
2014,1225,364927,"PITTSBURGH DELIVERY SERVICE","7 DUNCAN LANE
INDIANOLA, PA 15051","Chancellor","Printing/Publishing"
2014,9300,425900,"PITTSBURGH PROMISE","1901 CENTRE AVE
STE 204
PITTSBURGH, PA 15219","Chancellor","Printing/Publishing"
2014,6090,194028,"PRINT TECH OF WESTERN PA LLC","P O BOX 826
INDIANA, PA 15701","Chancellor","Printing/Publishing"
2014,126884,436404,"RR DONNELLEY","PO BOX 538602
ATLANTA, GA 30353-8602","Chancellor","Printing/Publishing"
2014,1125,382262,"SHARED SERVICES","803 LIBERTY AVENUE
PITTSBURGH'S CULTURAL DISTRICT
PITTSBURGH, PA 15222","Chancellor","Printing/Publishing"
2014,1500,523131,"TOP SHELF MEDIA LLC","8487 SHERWOOD
GROSSE ILE, MI 48138","Chancellor","Printing/Publishing"
2014,72288,231187,"TRIB TOTAL MEDIA","PO BOX 8181
GREENSBURG, PA 15601","Chancellor","Printing/Publishing"
2014,9265,111657,"TYPECRAFT PRESS INC","45 S 23RD ST
PO BOX 4295
PITTSBURGH, PA 15203","Chancellor","Printing/Publishing"
2014,50000,160900,"AMERICAN COUNCIL OF LEARNED SOCIETIES","228 EAST 45TH STREET
NEW YORK, NY 10017-3398","Chancellor","Professional Memberships"
2014,5759,219627,"ASSOCIATION FOR HEALTHCARE PHILANTHROPY","1306 LARSON DR
DANBURY, CT 06810","Chancellor","Professional Memberships"
2014,7500,187390,"COUNCIL ON COMPETITVENESS","1401 H STREET NW
SUITE 650
WASHINGTON, DC 20005","Chancellor","Professional Memberships"
2014,2500,282277,"DOWNTOWN MANAGEMENT ORGANIZATON","925 LIBERTY AVENUE
PITTSBURGH, PA 15222","Chancellor","Professional Memberships"
2014,4595,384785,"IWAVE INFORMATION SYSTEMS INC","28 HILLSTROM AVENUE
CHARLOTTETOWN,  C1E 2C5","Chancellor","Professional Memberships"
2014,9500,106673,"LEADERSHIP DIRECTORIES INC","104 FIFTH AVE
NEW YORK, NY 10011","Chancellor","Professional Memberships"
2014,2800,403513,"NATIONAL COUNCIL FOR SCIENCE AND THE ENV","1101 17TH STREET N W
SUITE 250
WASHINGTON, DC 20036","Chancellor","Professional Memberships"
2014,43855,109193,"PITTSBURGH COUNCIL ON HIGHER EDUCATION","3814 FORBES AVE
PITTSBURGH, PA 15213","Chancellor","Professional Memberships"
2014,1000,369681,"PITTSBURGH METROPOLITAN AREA HISPANIC CH","1536 BEECHVIEW AVENUE
PITTSBURGH, PA 15216-3336","Chancellor","Professional Memberships"
2014,1420,160951,"PRSA","33 IRVING PLACE
NEW YORK, NY 10003-2376","Chancellor","Professional Memberships"
2014,2500,525673,"TVEYES INC","2150 POST ROAD
THIRD FLOOR
FAIRFIELD, CT 06824","Chancellor","Professional Memberships"
2014,5000,373997,"UNIVERSITIES RESEARCH ASSOCIATES","1111 19TH STREET NW
SUITE 400
WASHINGTON, DC 20036-3627","Chancellor","Professional Memberships"
2014,2700,370373,"VISITPITTSBURGH","REGIONAL ENTERPRISE TOWER
425 SIXTH AVENUE 30TH FLOOR
PITTSBURGH, PA 15219","Chancellor","Professional Memberships"
2014,4125,384314,"WEALTHENGINE INC","4339 MONTGOMERY AVE
BETHESDA, MD 20814","Chancellor","Professional Memberships"
2014,1049,423455,"BITRONICS","1 CREEK STREET
CARNEGIE, PA 15106","Chancellor","Routine Maintenance"
2014,2479,104384,"FRANKLIN INTERIORS","BOX 371161
PITTSBURGH, PA 15251-7161","Chancellor","Routine Maintenance"
2014,5815,175255,"GRAPHCO","OHIO GRAPHCO INC PO BOX 72007
CLEVELAND, OH 44192-0002","Chancellor","Routine Maintenance"
2014,1628,360722,"TASTAR DATA SYSTEMS","2652 LIBRARY ROAD
PITTSBURGH, PA 15234","Chancellor","Routine Maintenance"
2014,16639,104384,"FRANKLIN INTERIORS","BOX 371161
PITTSBURGH, PA 15251-7161","Chancellor","Facility Alterations"
2014,3214,240436,"4IMPRINT INC","25303 NETWORK PLACE
CHICAGO, IL 60673-1253","Chancellor","Purchases for Resale"
2014,4567,122014,"AAA ENGRAVING","3 STATION SQUARE DR EAST
PITTSBURGH, PA 15219","Chancellor","Purchases for Resale"
2014,1525,100112,"ACE BINDERY CORP","5000 BAUM BLVD
PITTSBURGH, PA 15213","Chancellor","Purchases for Resale"
2014,9563,276837,"ADLER, NIKI K.","145 PIPER DRIVE
PITTSBURGH, PA 15234","Chancellor","Purchases for Resale"
